Epoch [1/15],  U_d: -0.0862,  U_a: -0.9973,  test accuracy: 0.6770,  forget accuracy: 0.9888,  retain accuracy: 0.9950,  att accuracy: 0.5013,  MIA accuracy: 0.6938,  MIA auc: 0.7374,  MIA recall: 0.9190, 
Epoch [2/15],  U_d: -0.7947,  U_a: -0.9902,  test accuracy: 0.5646,  forget accuracy: 0.7928,  retain accuracy: 0.8608,  att accuracy: 0.5048,  MIA accuracy: 0.6046,  MIA auc: 0.6399,  MIA recall: 0.7210, 
Epoch [3/15],  U_d: -0.5053,  U_a: -1.0068,  test accuracy: 0.5784,  forget accuracy: 0.7658,  retain accuracy: 0.8693,  att accuracy: 0.4965,  MIA accuracy: 0.5804,  MIA auc: 0.6098,  MIA recall: 0.6686, 
Epoch [4/15],  U_d: -0.3931,  U_a: -0.9852,  test accuracy: 0.5844,  forget accuracy: 0.7594,  retain accuracy: 0.8873,  att accuracy: 0.5073,  MIA accuracy: 0.5793,  MIA auc: 0.6112,  MIA recall: 0.6606, 
Epoch [5/15],  U_d: -0.1735,  U_a: -1.0076,  test accuracy: 0.6118,  forget accuracy: 0.7848,  retain accuracy: 0.9260,  att accuracy: 0.4961,  MIA accuracy: 0.5787,  MIA auc: 0.6088,  MIA recall: 0.6756, 
Epoch [6/15],  U_d: -0.1573,  U_a: -0.9936,  test accuracy: 0.6206,  forget accuracy: 0.7930,  retain accuracy: 0.9476,  att accuracy: 0.5031,  MIA accuracy: 0.5669,  MIA auc: 0.6001,  MIA recall: 0.6752, 
Epoch [7/15],  U_d: -0.1438,  U_a: -1.0090,  test accuracy: 0.6200,  forget accuracy: 0.7974,  retain accuracy: 0.9546,  att accuracy: 0.4954,  MIA accuracy: 0.5833,  MIA auc: 0.6090,  MIA recall: 0.6916, 
Epoch [8/15],  U_d: -0.1833,  U_a: -1.0074,  test accuracy: 0.6196,  forget accuracy: 0.7930,  retain accuracy: 0.9559,  att accuracy: 0.4962,  MIA accuracy: 0.5792,  MIA auc: 0.6104,  MIA recall: 0.6888, 
Epoch [9/15],  U_d: -0.0178,  U_a: -0.9942,  test accuracy: 0.6296,  forget accuracy: 0.7870,  retain accuracy: 0.9606,  att accuracy: 0.5028,  MIA accuracy: 0.5789,  MIA auc: 0.6074,  MIA recall: 0.6928, 
Epoch [10/15],  U_d: -0.0786,  U_a: -0.9958,  test accuracy: 0.6138,  forget accuracy: 0.7634,  retain accuracy: 0.9456,  att accuracy: 0.5020,  MIA accuracy: 0.5677,  MIA auc: 0.5951,  MIA recall: 0.6644, 
Epoch [11/15],  U_d: -0.0449,  U_a: -0.9924,  test accuracy: 0.5990,  forget accuracy: 0.7342,  retain accuracy: 0.9202,  att accuracy: 0.5037,  MIA accuracy: 0.5684,  MIA auc: 0.5952,  MIA recall: 0.6530, 
Epoch [12/15],  U_d: -0.0864,  U_a: -1.0018,  test accuracy: 0.6090,  forget accuracy: 0.7562,  retain accuracy: 0.9322,  att accuracy: 0.4990,  MIA accuracy: 0.5647,  MIA auc: 0.5890,  MIA recall: 0.6628, 
Epoch [13/15],  U_d: -0.1506,  U_a: -1.0002,  test accuracy: 0.6036,  forget accuracy: 0.7486,  retain accuracy: 0.9397,  att accuracy: 0.4998,  MIA accuracy: 0.5630,  MIA auc: 0.5896,  MIA recall: 0.6486, 
Epoch [14/15],  U_d: -0.0435,  U_a: -0.9956,  test accuracy: 0.5942,  forget accuracy: 0.7288,  retain accuracy: 0.9253,  att accuracy: 0.5021,  MIA accuracy: 0.5557,  MIA auc: 0.5851,  MIA recall: 0.6442, 
Epoch [15/15],  U_d: -0.0723,  U_a: -1.0244,  test accuracy: 0.6022,  forget accuracy: 0.7292,  retain accuracy: 0.9315,  att accuracy: 0.4877,  MIA accuracy: 0.5490,  MIA auc: 0.5756,  MIA recall: 0.6340, 
