Epoch [1/15],  U_d: -0.0252,  U_a: -0.9943,  test accuracy: 0.6870,  forget accuracy: 0.9958,  retain accuracy: 0.9980,  att accuracy: 0.5028,  MIA accuracy: 0.7099,  MIA auc: 0.7547,  MIA recall: 0.9424, 
Epoch [2/15],  U_d: -0.8521,  U_a: -0.9982,  test accuracy: 0.5818,  forget accuracy: 0.8226,  retain accuracy: 0.8915,  att accuracy: 0.5008,  MIA accuracy: 0.6101,  MIA auc: 0.6506,  MIA recall: 0.7266, 
Epoch [3/15],  U_d: -0.4345,  U_a: -0.9938,  test accuracy: 0.5838,  forget accuracy: 0.7774,  retain accuracy: 0.8861,  att accuracy: 0.5030,  MIA accuracy: 0.5875,  MIA auc: 0.6257,  MIA recall: 0.6522, 
Epoch [4/15],  U_d: -0.2536,  U_a: -0.9940,  test accuracy: 0.5932,  forget accuracy: 0.7606,  retain accuracy: 0.9002,  att accuracy: 0.5029,  MIA accuracy: 0.5690,  MIA auc: 0.5990,  MIA recall: 0.6496, 
Epoch [5/15],  U_d: -0.1452,  U_a: -0.9916,  test accuracy: 0.6042,  forget accuracy: 0.7612,  retain accuracy: 0.9180,  att accuracy: 0.5041,  MIA accuracy: 0.5685,  MIA auc: 0.5996,  MIA recall: 0.6558, 
Epoch [6/15],  U_d: -0.2927,  U_a: -1.0008,  test accuracy: 0.6030,  forget accuracy: 0.7412,  retain accuracy: 0.9131,  att accuracy: 0.4995,  MIA accuracy: 0.5705,  MIA auc: 0.6018,  MIA recall: 0.6754, 
Epoch [7/15],  U_d: -0.2249,  U_a: -1.0024,  test accuracy: 0.6298,  forget accuracy: 0.7726,  retain accuracy: 0.9484,  att accuracy: 0.4987,  MIA accuracy: 0.5712,  MIA auc: 0.5973,  MIA recall: 0.6798, 
Epoch [8/15],  U_d: -0.1964,  U_a: -1.0092,  test accuracy: 0.6230,  forget accuracy: 0.7672,  retain accuracy: 0.9467,  att accuracy: 0.4953,  MIA accuracy: 0.5645,  MIA auc: 0.5947,  MIA recall: 0.6686, 
Epoch [9/15],  U_d: -0.0318,  U_a: -1.0106,  test accuracy: 0.6304,  forget accuracy: 0.7842,  retain accuracy: 0.9566,  att accuracy: 0.4946,  MIA accuracy: 0.5745,  MIA auc: 0.6003,  MIA recall: 0.6876, 
Epoch [10/15],  U_d: -0.0133,  U_a: -0.9942,  test accuracy: 0.6106,  forget accuracy: 0.7588,  retain accuracy: 0.9427,  att accuracy: 0.5028,  MIA accuracy: 0.5689,  MIA auc: 0.5951,  MIA recall: 0.6620, 
Epoch [11/15],  U_d: -0.0187,  U_a: -1.0056,  test accuracy: 0.6156,  forget accuracy: 0.7590,  retain accuracy: 0.9412,  att accuracy: 0.4971,  MIA accuracy: 0.5637,  MIA auc: 0.5933,  MIA recall: 0.6558, 
Epoch [12/15],  U_d: -0.0652,  U_a: -1.0068,  test accuracy: 0.6148,  forget accuracy: 0.7468,  retain accuracy: 0.9427,  att accuracy: 0.4965,  MIA accuracy: 0.5620,  MIA auc: 0.5882,  MIA recall: 0.6450, 
Epoch [13/15],  U_d: -0.0586,  U_a: -1.0012,  test accuracy: 0.6124,  forget accuracy: 0.7394,  retain accuracy: 0.9448,  att accuracy: 0.4993,  MIA accuracy: 0.5603,  MIA auc: 0.5883,  MIA recall: 0.6506, 
Epoch [14/15],  U_d: -0.1051,  U_a: -0.9970,  test accuracy: 0.5952,  forget accuracy: 0.7216,  retain accuracy: 0.9296,  att accuracy: 0.5014,  MIA accuracy: 0.5522,  MIA auc: 0.5743,  MIA recall: 0.6268, 
Epoch [15/15],  U_d: -0.0559,  U_a: -1.0022,  test accuracy: 0.6024,  forget accuracy: 0.7316,  retain accuracy: 0.9412,  att accuracy: 0.4988,  MIA accuracy: 0.5502,  MIA auc: 0.5752,  MIA recall: 0.6324, 
