Epoch [1/60],  U_d: -0.0713,  U_a: -0.9941,  test accuracy: 0.6844,  forget accuracy: 0.9948,  retain accuracy: 0.9966,  att accuracy: 0.5029,  MIA accuracy: 0.7011,  MIA auc: 0.7515,  MIA recall: 0.9378, 
Epoch [2/60],  U_d: -0.6650,  U_a: -0.9874,  test accuracy: 0.5556,  forget accuracy: 0.7632,  retain accuracy: 0.8366,  att accuracy: 0.5062,  MIA accuracy: 0.6023,  MIA auc: 0.6387,  MIA recall: 0.6772, 
Epoch [3/60],  U_d: -0.4260,  U_a: -1.0004,  test accuracy: 0.5794,  forget accuracy: 0.7770,  retain accuracy: 0.8837,  att accuracy: 0.4997,  MIA accuracy: 0.5924,  MIA auc: 0.6244,  MIA recall: 0.6646, 
Epoch [4/60],  U_d: -0.4481,  U_a: -1.0042,  test accuracy: 0.5924,  forget accuracy: 0.7854,  retain accuracy: 0.9080,  att accuracy: 0.4978,  MIA accuracy: 0.5824,  MIA auc: 0.6111,  MIA recall: 0.6776, 
Epoch [5/60],  U_d: -0.0703,  U_a: -0.9826,  test accuracy: 0.6186,  forget accuracy: 0.8042,  retain accuracy: 0.9454,  att accuracy: 0.5086,  MIA accuracy: 0.5965,  MIA auc: 0.6338,  MIA recall: 0.7028, 
Epoch [6/60],  U_d: -0.1749,  U_a: -0.9974,  test accuracy: 0.6316,  forget accuracy: 0.8260,  retain accuracy: 0.9624,  att accuracy: 0.5012,  MIA accuracy: 0.5897,  MIA auc: 0.6221,  MIA recall: 0.7142, 
Epoch [7/60],  U_d: -0.0874,  U_a: -0.9942,  test accuracy: 0.6250,  forget accuracy: 0.8244,  retain accuracy: 0.9686,  att accuracy: 0.5028,  MIA accuracy: 0.5972,  MIA auc: 0.6240,  MIA recall: 0.7106, 
Epoch [8/60],  U_d: -0.1227,  U_a: -1.0018,  test accuracy: 0.6238,  forget accuracy: 0.8120,  retain accuracy: 0.9645,  att accuracy: 0.4990,  MIA accuracy: 0.5778,  MIA auc: 0.6074,  MIA recall: 0.7008, 
Epoch [9/60],  U_d: -0.1041,  U_a: -1.0052,  test accuracy: 0.6272,  forget accuracy: 0.7998,  retain accuracy: 0.9618,  att accuracy: 0.4973,  MIA accuracy: 0.5755,  MIA auc: 0.6114,  MIA recall: 0.6980, 
Epoch [10/60],  U_d: -0.0518,  U_a: -1.0102,  test accuracy: 0.6148,  forget accuracy: 0.7904,  retain accuracy: 0.9541,  att accuracy: 0.4948,  MIA accuracy: 0.5695,  MIA auc: 0.5983,  MIA recall: 0.6744, 
Epoch [11/60],  U_d: -0.0746,  U_a: -0.9952,  test accuracy: 0.6208,  forget accuracy: 0.7758,  retain accuracy: 0.9544,  att accuracy: 0.5023,  MIA accuracy: 0.5688,  MIA auc: 0.5959,  MIA recall: 0.6740, 
Epoch [12/60],  U_d: -0.1502,  U_a: -1.0114,  test accuracy: 0.6122,  forget accuracy: 0.7626,  retain accuracy: 0.9498,  att accuracy: 0.4942,  MIA accuracy: 0.5802,  MIA auc: 0.6011,  MIA recall: 0.6834, 
Epoch [13/60],  U_d: -0.0720,  U_a: -0.9938,  test accuracy: 0.6040,  forget accuracy: 0.7570,  retain accuracy: 0.9450,  att accuracy: 0.5030,  MIA accuracy: 0.5663,  MIA auc: 0.5896,  MIA recall: 0.6570, 
Epoch [14/60],  U_d: -0.1136,  U_a: -1.0026,  test accuracy: 0.6016,  forget accuracy: 0.7304,  retain accuracy: 0.9308,  att accuracy: 0.4986,  MIA accuracy: 0.5515,  MIA auc: 0.5763,  MIA recall: 0.6422, 
Epoch [15/60],  U_d: -0.1509,  U_a: -0.9910,  test accuracy: 0.5976,  forget accuracy: 0.7290,  retain accuracy: 0.9278,  att accuracy: 0.5044,  MIA accuracy: 0.5579,  MIA auc: 0.5817,  MIA recall: 0.6320, 
Epoch [16/60],  U_d: -0.1376,  U_a: -0.9832,  test accuracy: 0.5964,  forget accuracy: 0.7182,  retain accuracy: 0.9331,  att accuracy: 0.5083,  MIA accuracy: 0.5630,  MIA auc: 0.5848,  MIA recall: 0.6416, 
Epoch [17/60],  U_d: -0.0623,  U_a: -1.0074,  test accuracy: 0.5892,  forget accuracy: 0.7098,  retain accuracy: 0.9242,  att accuracy: 0.4962,  MIA accuracy: 0.5504,  MIA auc: 0.5732,  MIA recall: 0.6248, 
Epoch [18/60],  U_d: -0.0400,  U_a: -0.9866,  test accuracy: 0.5964,  forget accuracy: 0.7064,  retain accuracy: 0.9381,  att accuracy: 0.5066,  MIA accuracy: 0.5534,  MIA auc: 0.5740,  MIA recall: 0.6298, 
Epoch [19/60],  U_d: -0.0917,  U_a: -0.9714,  test accuracy: 0.5962,  forget accuracy: 0.7118,  retain accuracy: 0.9419,  att accuracy: 0.5142,  MIA accuracy: 0.5576,  MIA auc: 0.5781,  MIA recall: 0.6340, 
Epoch [20/60],  U_d: -0.0366,  U_a: -1.0076,  test accuracy: 0.5892,  forget accuracy: 0.6940,  retain accuracy: 0.9293,  att accuracy: 0.4961,  MIA accuracy: 0.5448,  MIA auc: 0.5626,  MIA recall: 0.6068, 
Epoch [21/60],  U_d: -0.0828,  U_a: -1.0176,  test accuracy: 0.5842,  forget accuracy: 0.6740,  retain accuracy: 0.9180,  att accuracy: 0.4911,  MIA accuracy: 0.5404,  MIA auc: 0.5475,  MIA recall: 0.6048, 
Epoch [22/60],  U_d: -0.1400,  U_a: -0.9984,  test accuracy: 0.5802,  forget accuracy: 0.6786,  retain accuracy: 0.9250,  att accuracy: 0.5007,  MIA accuracy: 0.5430,  MIA auc: 0.5595,  MIA recall: 0.6024, 
Epoch [23/60],  U_d: -0.0562,  U_a: -1.0096,  test accuracy: 0.5834,  forget accuracy: 0.6822,  retain accuracy: 0.9301,  att accuracy: 0.4951,  MIA accuracy: 0.5430,  MIA auc: 0.5600,  MIA recall: 0.6086, 
Epoch [24/60],  U_d: -0.0542,  U_a: -0.9966,  test accuracy: 0.5626,  forget accuracy: 0.6568,  retain accuracy: 0.9025,  att accuracy: 0.5016,  MIA accuracy: 0.5370,  MIA auc: 0.5479,  MIA recall: 0.5976, 
Epoch [25/60],  U_d: -0.0854,  U_a: -0.9824,  test accuracy: 0.5704,  forget accuracy: 0.6658,  retain accuracy: 0.9211,  att accuracy: 0.5087,  MIA accuracy: 0.5350,  MIA auc: 0.5579,  MIA recall: 0.5856, 
Epoch [26/60],  U_d: -0.0456,  U_a: -0.9852,  test accuracy: 0.5662,  forget accuracy: 0.6462,  retain accuracy: 0.9012,  att accuracy: 0.5073,  MIA accuracy: 0.5449,  MIA auc: 0.5539,  MIA recall: 0.5954, 
Epoch [27/60],  U_d: -0.0594,  U_a: -0.9984,  test accuracy: 0.5676,  forget accuracy: 0.6604,  retain accuracy: 0.9276,  att accuracy: 0.5007,  MIA accuracy: 0.5381,  MIA auc: 0.5477,  MIA recall: 0.5824, 
Epoch [28/60],  U_d: -0.0203,  U_a: -1.0114,  test accuracy: 0.5786,  forget accuracy: 0.6548,  retain accuracy: 0.9272,  att accuracy: 0.4942,  MIA accuracy: 0.5301,  MIA auc: 0.5425,  MIA recall: 0.5854, 
Epoch [29/60],  U_d: -0.0421,  U_a: -0.9926,  test accuracy: 0.5748,  forget accuracy: 0.6510,  retain accuracy: 0.9316,  att accuracy: 0.5036,  MIA accuracy: 0.5306,  MIA auc: 0.5509,  MIA recall: 0.5820, 
Epoch [30/60],  U_d: -0.0525,  U_a: -0.9962,  test accuracy: 0.5614,  forget accuracy: 0.6386,  retain accuracy: 0.9145,  att accuracy: 0.5018,  MIA accuracy: 0.5256,  MIA auc: 0.5396,  MIA recall: 0.5780, 
Epoch [31/60],  U_d: -0.1760,  U_a: -1.0042,  test accuracy: 0.5520,  forget accuracy: 0.6240,  retain accuracy: 0.8972,  att accuracy: 0.4978,  MIA accuracy: 0.5264,  MIA auc: 0.5350,  MIA recall: 0.5672, 
Epoch [32/60],  U_d: -0.0823,  U_a: -0.9920,  test accuracy: 0.5614,  forget accuracy: 0.6292,  retain accuracy: 0.9095,  att accuracy: 0.5039,  MIA accuracy: 0.5223,  MIA auc: 0.5363,  MIA recall: 0.5662, 
Epoch [33/60],  U_d: -0.0599,  U_a: -1.0022,  test accuracy: 0.5580,  forget accuracy: 0.6280,  retain accuracy: 0.9109,  att accuracy: 0.4988,  MIA accuracy: 0.5308,  MIA auc: 0.5469,  MIA recall: 0.5630, 
Epoch [34/60],  U_d: -0.1205,  U_a: -0.9976,  test accuracy: 0.5458,  forget accuracy: 0.6116,  retain accuracy: 0.8910,  att accuracy: 0.5011,  MIA accuracy: 0.5289,  MIA auc: 0.5345,  MIA recall: 0.5698, 
Epoch [35/60],  U_d: -0.0318,  U_a: -0.9976,  test accuracy: 0.5466,  forget accuracy: 0.5986,  retain accuracy: 0.8819,  att accuracy: 0.5011,  MIA accuracy: 0.5228,  MIA auc: 0.5330,  MIA recall: 0.5610, 
Epoch [36/60],  U_d: -0.0845,  U_a: -1.0062,  test accuracy: 0.5446,  forget accuracy: 0.6016,  retain accuracy: 0.8959,  att accuracy: 0.4968,  MIA accuracy: 0.5154,  MIA auc: 0.5177,  MIA recall: 0.5480, 
Epoch [37/60],  U_d: -0.1043,  U_a: -0.9972,  test accuracy: 0.5396,  forget accuracy: 0.5868,  retain accuracy: 0.8794,  att accuracy: 0.5013,  MIA accuracy: 0.5294,  MIA auc: 0.5453,  MIA recall: 0.5484, 
Epoch [38/60],  U_d: -0.0372,  U_a: -0.9836,  test accuracy: 0.5408,  forget accuracy: 0.5960,  retain accuracy: 0.8864,  att accuracy: 0.5081,  MIA accuracy: 0.5304,  MIA auc: 0.5382,  MIA recall: 0.5622, 
Epoch [39/60],  U_d: -0.0167,  U_a: -0.9886,  test accuracy: 0.5434,  forget accuracy: 0.5918,  retain accuracy: 0.8894,  att accuracy: 0.5056,  MIA accuracy: 0.5221,  MIA auc: 0.5297,  MIA recall: 0.5560, 
Epoch [40/60],  U_d: -0.0625,  U_a: -1.0098,  test accuracy: 0.5440,  forget accuracy: 0.5922,  retain accuracy: 0.8943,  att accuracy: 0.4950,  MIA accuracy: 0.5203,  MIA auc: 0.5285,  MIA recall: 0.5514, 
Epoch [41/60],  U_d: -0.0913,  U_a: -1.0002,  test accuracy: 0.5348,  forget accuracy: 0.5840,  retain accuracy: 0.8785,  att accuracy: 0.4998,  MIA accuracy: 0.5189,  MIA auc: 0.5306,  MIA recall: 0.5410, 
Epoch [42/60],  U_d: -0.0533,  U_a: -1.0044,  test accuracy: 0.5406,  forget accuracy: 0.5846,  retain accuracy: 0.8774,  att accuracy: 0.4977,  MIA accuracy: 0.5189,  MIA auc: 0.5296,  MIA recall: 0.5288, 
Epoch [43/60],  U_d: -0.0412,  U_a: -0.9938,  test accuracy: 0.5312,  forget accuracy: 0.5708,  retain accuracy: 0.8671,  att accuracy: 0.5030,  MIA accuracy: 0.5190,  MIA auc: 0.5290,  MIA recall: 0.5484, 
