Epoch [1/60],  U_d: -0.1154,  U_a: -1.0047,  test accuracy: 0.6806,  forget accuracy: 0.9926,  retain accuracy: 0.9955,  att accuracy: 0.4976,  MIA accuracy: 0.7010,  MIA auc: 0.7542,  MIA recall: 0.9250, 
Epoch [2/60],  U_d: -0.7007,  U_a: -1.0106,  test accuracy: 0.5876,  forget accuracy: 0.7990,  retain accuracy: 0.8819,  att accuracy: 0.4946,  MIA accuracy: 0.6095,  MIA auc: 0.6544,  MIA recall: 0.7140, 
Epoch [3/60],  U_d: -0.4047,  U_a: -1.0038,  test accuracy: 0.5894,  forget accuracy: 0.7738,  retain accuracy: 0.8932,  att accuracy: 0.4980,  MIA accuracy: 0.5819,  MIA auc: 0.6121,  MIA recall: 0.6680, 
Epoch [4/60],  U_d: -0.1814,  U_a: -1.0108,  test accuracy: 0.5966,  forget accuracy: 0.7762,  retain accuracy: 0.9089,  att accuracy: 0.4945,  MIA accuracy: 0.5838,  MIA auc: 0.6123,  MIA recall: 0.6576, 
Epoch [5/60],  U_d: -0.0962,  U_a: -1.0004,  test accuracy: 0.6028,  forget accuracy: 0.7588,  retain accuracy: 0.9147,  att accuracy: 0.4997,  MIA accuracy: 0.5799,  MIA auc: 0.6076,  MIA recall: 0.6542, 
Epoch [6/60],  U_d: -0.0917,  U_a: -0.9874,  test accuracy: 0.6176,  forget accuracy: 0.7822,  retain accuracy: 0.9402,  att accuracy: 0.5062,  MIA accuracy: 0.5769,  MIA auc: 0.6043,  MIA recall: 0.6782, 
Epoch [7/60],  U_d: -0.1597,  U_a: -0.9930,  test accuracy: 0.6164,  forget accuracy: 0.7804,  retain accuracy: 0.9529,  att accuracy: 0.5034,  MIA accuracy: 0.5756,  MIA auc: 0.6059,  MIA recall: 0.6692, 
Epoch [8/60],  U_d: -0.2506,  U_a: -0.9986,  test accuracy: 0.6184,  forget accuracy: 0.7694,  retain accuracy: 0.9530,  att accuracy: 0.5006,  MIA accuracy: 0.5757,  MIA auc: 0.6074,  MIA recall: 0.6666, 
Epoch [9/60],  U_d: -0.0735,  U_a: -1.0104,  test accuracy: 0.6176,  forget accuracy: 0.7674,  retain accuracy: 0.9556,  att accuracy: 0.4947,  MIA accuracy: 0.5721,  MIA auc: 0.6003,  MIA recall: 0.6678, 
Epoch [10/60],  U_d: -0.0318,  U_a: -1.0008,  test accuracy: 0.6200,  forget accuracy: 0.7662,  retain accuracy: 0.9539,  att accuracy: 0.4995,  MIA accuracy: 0.5791,  MIA auc: 0.5985,  MIA recall: 0.6694, 
Epoch [11/60],  U_d: -0.0754,  U_a: -0.9966,  test accuracy: 0.6130,  forget accuracy: 0.7484,  retain accuracy: 0.9401,  att accuracy: 0.5016,  MIA accuracy: 0.5651,  MIA auc: 0.5859,  MIA recall: 0.6422, 
