Epoch [1/60],  U_d: -0.0175,  U_a: -1.0171,  test accuracy: 0.6800,  forget accuracy: 0.9946,  retain accuracy: 0.9981,  att accuracy: 0.4914,  MIA accuracy: 0.7075,  MIA auc: 0.7585,  MIA recall: 0.9426, 
Epoch [2/60],  U_d: -0.4576,  U_a: -0.9890,  test accuracy: 0.5864,  forget accuracy: 0.8072,  retain accuracy: 0.8800,  att accuracy: 0.5054,  MIA accuracy: 0.5978,  MIA auc: 0.6344,  MIA recall: 0.7154, 
Epoch [3/60],  U_d: -0.6783,  U_a: -0.9934,  test accuracy: 0.5822,  forget accuracy: 0.7690,  retain accuracy: 0.8773,  att accuracy: 0.5032,  MIA accuracy: 0.5693,  MIA auc: 0.6045,  MIA recall: 0.6492, 
Epoch [4/60],  U_d: -0.3598,  U_a: -1.0026,  test accuracy: 0.5846,  forget accuracy: 0.7586,  retain accuracy: 0.8894,  att accuracy: 0.4986,  MIA accuracy: 0.5732,  MIA auc: 0.6055,  MIA recall: 0.6564, 
Epoch [5/60],  U_d: -0.4519,  U_a: -1.0126,  test accuracy: 0.5906,  forget accuracy: 0.7604,  retain accuracy: 0.9096,  att accuracy: 0.4936,  MIA accuracy: 0.5699,  MIA auc: 0.5948,  MIA recall: 0.6752, 
Epoch [6/60],  U_d: -0.0873,  U_a: -1.0020,  test accuracy: 0.6276,  forget accuracy: 0.8034,  retain accuracy: 0.9576,  att accuracy: 0.4989,  MIA accuracy: 0.5853,  MIA auc: 0.6063,  MIA recall: 0.7094, 
Epoch [7/60],  U_d: -0.0644,  U_a: -0.9920,  test accuracy: 0.6286,  forget accuracy: 0.8020,  retain accuracy: 0.9686,  att accuracy: 0.5039,  MIA accuracy: 0.5811,  MIA auc: 0.6026,  MIA recall: 0.7112, 
Epoch [8/60],  U_d: -0.0374,  U_a: -1.0060,  test accuracy: 0.6264,  forget accuracy: 0.7992,  retain accuracy: 0.9661,  att accuracy: 0.4969,  MIA accuracy: 0.5780,  MIA auc: 0.5990,  MIA recall: 0.6928, 
Epoch [9/60],  U_d: -0.0503,  U_a: -1.0180,  test accuracy: 0.6190,  forget accuracy: 0.7796,  retain accuracy: 0.9550,  att accuracy: 0.4909,  MIA accuracy: 0.5761,  MIA auc: 0.5913,  MIA recall: 0.6848, 
Epoch [10/60],  U_d: -0.0175,  U_a: -0.9948,  test accuracy: 0.6194,  forget accuracy: 0.7740,  retain accuracy: 0.9512,  att accuracy: 0.5025,  MIA accuracy: 0.5716,  MIA auc: 0.5924,  MIA recall: 0.6732, 
Epoch [11/60],  U_d: -0.1033,  U_a: -0.9830,  test accuracy: 0.6040,  forget accuracy: 0.7502,  retain accuracy: 0.9280,  att accuracy: 0.5084,  MIA accuracy: 0.5633,  MIA auc: 0.5810,  MIA recall: 0.6574, 
