Epoch [1/30],  U_d: -0.0157,  U_a: -0.9943,  test accuracy: 0.6820,  forget accuracy: 0.9964,  retain accuracy: 0.9980,  att accuracy: 0.5028,  MIA accuracy: 0.7176,  MIA auc: 0.7645,  MIA recall: 0.9412, 
Epoch [2/30],  U_d: -0.7282,  U_a: -0.9982,  test accuracy: 0.5396,  forget accuracy: 0.7446,  retain accuracy: 0.8101,  att accuracy: 0.5008,  MIA accuracy: 0.6021,  MIA auc: 0.6366,  MIA recall: 0.6644, 
Epoch [3/30],  U_d: -0.2819,  U_a: -0.9938,  test accuracy: 0.5942,  forget accuracy: 0.7722,  retain accuracy: 0.8806,  att accuracy: 0.5030,  MIA accuracy: 0.5906,  MIA auc: 0.6210,  MIA recall: 0.6716, 
Epoch [4/30],  U_d: -0.2107,  U_a: -0.9940,  test accuracy: 0.6082,  forget accuracy: 0.7970,  retain accuracy: 0.9253,  att accuracy: 0.5029,  MIA accuracy: 0.5857,  MIA auc: 0.6199,  MIA recall: 0.6952, 
Epoch [5/30],  U_d: -0.1053,  U_a: -0.9916,  test accuracy: 0.6180,  forget accuracy: 0.7980,  retain accuracy: 0.9368,  att accuracy: 0.5041,  MIA accuracy: 0.5874,  MIA auc: 0.6212,  MIA recall: 0.7014, 
Epoch [6/30],  U_d: -0.1707,  U_a: -1.0008,  test accuracy: 0.6116,  forget accuracy: 0.7928,  retain accuracy: 0.9463,  att accuracy: 0.4995,  MIA accuracy: 0.5896,  MIA auc: 0.6301,  MIA recall: 0.7102, 
Epoch [7/30],  U_d: -0.1281,  U_a: -1.0024,  test accuracy: 0.6348,  forget accuracy: 0.8182,  retain accuracy: 0.9703,  att accuracy: 0.4987,  MIA accuracy: 0.5857,  MIA auc: 0.6170,  MIA recall: 0.7176, 
Epoch [8/30],  U_d: -0.0884,  U_a: -1.0092,  test accuracy: 0.6240,  forget accuracy: 0.8016,  retain accuracy: 0.9637,  att accuracy: 0.4953,  MIA accuracy: 0.5712,  MIA auc: 0.6072,  MIA recall: 0.6824, 
Epoch [9/30],  U_d: -0.1018,  U_a: -1.0106,  test accuracy: 0.6196,  forget accuracy: 0.7972,  retain accuracy: 0.9622,  att accuracy: 0.4946,  MIA accuracy: 0.5804,  MIA auc: 0.6106,  MIA recall: 0.7092, 
Epoch [10/30],  U_d: -0.0803,  U_a: -0.9942,  test accuracy: 0.6226,  forget accuracy: 0.7858,  retain accuracy: 0.9580,  att accuracy: 0.5028,  MIA accuracy: 0.5710,  MIA auc: 0.6050,  MIA recall: 0.6852, 
Epoch [11/30],  U_d: -0.2072,  U_a: -1.0056,  test accuracy: 0.6108,  forget accuracy: 0.7602,  retain accuracy: 0.9412,  att accuracy: 0.4971,  MIA accuracy: 0.5713,  MIA auc: 0.6018,  MIA recall: 0.6762, 
Epoch [12/30],  U_d: -0.0538,  U_a: -1.0068,  test accuracy: 0.6052,  forget accuracy: 0.7434,  retain accuracy: 0.9357,  att accuracy: 0.4965,  MIA accuracy: 0.5641,  MIA auc: 0.5906,  MIA recall: 0.6588, 
Epoch [13/30],  U_d: -0.1116,  U_a: -1.0012,  test accuracy: 0.6046,  forget accuracy: 0.7480,  retain accuracy: 0.9415,  att accuracy: 0.4993,  MIA accuracy: 0.5626,  MIA auc: 0.5899,  MIA recall: 0.6550, 
Epoch [14/30],  U_d: -0.0688,  U_a: -0.9970,  test accuracy: 0.6070,  forget accuracy: 0.7346,  retain accuracy: 0.9407,  att accuracy: 0.5014,  MIA accuracy: 0.5658,  MIA auc: 0.5910,  MIA recall: 0.6516, 
Epoch [15/30],  U_d: -0.0497,  U_a: -1.0022,  test accuracy: 0.6008,  forget accuracy: 0.7328,  retain accuracy: 0.9385,  att accuracy: 0.4988,  MIA accuracy: 0.5573,  MIA auc: 0.5863,  MIA recall: 0.6310, 
Epoch [16/30],  U_d: -0.1392,  U_a: -1.0050,  test accuracy: 0.6014,  forget accuracy: 0.7220,  retain accuracy: 0.9445,  att accuracy: 0.4974,  MIA accuracy: 0.5585,  MIA auc: 0.5836,  MIA recall: 0.6292, 
Epoch [17/30],  U_d: -0.1051,  U_a: -0.9866,  test accuracy: 0.6038,  forget accuracy: 0.7196,  retain accuracy: 0.9401,  att accuracy: 0.5066,  MIA accuracy: 0.5545,  MIA auc: 0.5781,  MIA recall: 0.6338, 
Epoch [18/30],  U_d: -0.0687,  U_a: -1.0004,  test accuracy: 0.6046,  forget accuracy: 0.7188,  retain accuracy: 0.9415,  att accuracy: 0.4997,  MIA accuracy: 0.5540,  MIA auc: 0.5764,  MIA recall: 0.6342, 
Epoch [19/30],  U_d: -0.1014,  U_a: -0.9990,  test accuracy: 0.6018,  forget accuracy: 0.7040,  retain accuracy: 0.9357,  att accuracy: 0.5004,  MIA accuracy: 0.5505,  MIA auc: 0.5713,  MIA recall: 0.6128, 
Epoch [20/30],  U_d: -0.0418,  U_a: -0.9956,  test accuracy: 0.5966,  forget accuracy: 0.6862,  retain accuracy: 0.9255,  att accuracy: 0.5021,  MIA accuracy: 0.5462,  MIA auc: 0.5682,  MIA recall: 0.6010, 
Epoch [21/30],  U_d: -0.0358,  U_a: -0.9908,  test accuracy: 0.5972,  forget accuracy: 0.6990,  retain accuracy: 0.9394,  att accuracy: 0.5045,  MIA accuracy: 0.5435,  MIA auc: 0.5681,  MIA recall: 0.6112, 
Epoch [22/30],  U_d: -0.0618,  U_a: -1.0040,  test accuracy: 0.5836,  forget accuracy: 0.6666,  retain accuracy: 0.9130,  att accuracy: 0.4979,  MIA accuracy: 0.5416,  MIA auc: 0.5661,  MIA recall: 0.5980, 
Epoch [23/30],  U_d: -0.1132,  U_a: -1.0026,  test accuracy: 0.5816,  forget accuracy: 0.6722,  retain accuracy: 0.9208,  att accuracy: 0.4986,  MIA accuracy: 0.5477,  MIA auc: 0.5636,  MIA recall: 0.6102, 
Epoch [24/30],  U_d: -0.0765,  U_a: -1.0138,  test accuracy: 0.5876,  forget accuracy: 0.6672,  retain accuracy: 0.9299,  att accuracy: 0.4930,  MIA accuracy: 0.5411,  MIA auc: 0.5642,  MIA recall: 0.5938, 
Epoch [25/30],  U_d: -0.0719,  U_a: -0.9866,  test accuracy: 0.5872,  forget accuracy: 0.6604,  retain accuracy: 0.9217,  att accuracy: 0.5066,  MIA accuracy: 0.5408,  MIA auc: 0.5639,  MIA recall: 0.5916, 
Epoch [26/30],  U_d: -0.0352,  U_a: -1.0158,  test accuracy: 0.5704,  forget accuracy: 0.6444,  retain accuracy: 0.9001,  att accuracy: 0.4920,  MIA accuracy: 0.5371,  MIA auc: 0.5485,  MIA recall: 0.5670, 
Epoch [27/30],  U_d: -0.0458,  U_a: -1.0042,  test accuracy: 0.5854,  forget accuracy: 0.6614,  retain accuracy: 0.9322,  att accuracy: 0.4978,  MIA accuracy: 0.5370,  MIA auc: 0.5571,  MIA recall: 0.5814, 
Epoch [28/30],  U_d: -0.1638,  U_a: -0.9898,  test accuracy: 0.5810,  forget accuracy: 0.6570,  retain accuracy: 0.9274,  att accuracy: 0.5050,  MIA accuracy: 0.5329,  MIA auc: 0.5529,  MIA recall: 0.5870, 
