Epoch [1/30],  U_d: -0.0111,  U_a: -1.0171,  test accuracy: 0.6854,  forget accuracy: 0.9944,  retain accuracy: 0.9981,  att accuracy: 0.4914,  MIA accuracy: 0.7111,  MIA auc: 0.7634,  MIA recall: 0.9492, 
Epoch [2/30],  U_d: -0.8010,  U_a: -0.9890,  test accuracy: 0.5918,  forget accuracy: 0.8252,  retain accuracy: 0.8998,  att accuracy: 0.5054,  MIA accuracy: 0.6151,  MIA auc: 0.6423,  MIA recall: 0.7540, 
Epoch [3/30],  U_d: -0.7027,  U_a: -0.9934,  test accuracy: 0.5786,  forget accuracy: 0.7548,  retain accuracy: 0.8712,  att accuracy: 0.5032,  MIA accuracy: 0.5762,  MIA auc: 0.6010,  MIA recall: 0.6724, 
Epoch [4/30],  U_d: -0.5447,  U_a: -1.0026,  test accuracy: 0.5896,  forget accuracy: 0.7606,  retain accuracy: 0.8989,  att accuracy: 0.4986,  MIA accuracy: 0.5780,  MIA auc: 0.6110,  MIA recall: 0.6656, 
Epoch [5/30],  U_d: -0.3053,  U_a: -1.0126,  test accuracy: 0.6060,  forget accuracy: 0.7744,  retain accuracy: 0.9205,  att accuracy: 0.4936,  MIA accuracy: 0.5772,  MIA auc: 0.6055,  MIA recall: 0.6728, 
Epoch [6/30],  U_d: -0.1285,  U_a: -1.0020,  test accuracy: 0.6314,  forget accuracy: 0.8066,  retain accuracy: 0.9586,  att accuracy: 0.4989,  MIA accuracy: 0.5776,  MIA auc: 0.6088,  MIA recall: 0.6862, 
Epoch [7/30],  U_d: -0.1703,  U_a: -0.9920,  test accuracy: 0.6168,  forget accuracy: 0.7850,  retain accuracy: 0.9488,  att accuracy: 0.5039,  MIA accuracy: 0.5710,  MIA auc: 0.5989,  MIA recall: 0.6910, 
Epoch [8/30],  U_d: -0.0486,  U_a: -1.0060,  test accuracy: 0.6248,  forget accuracy: 0.7988,  retain accuracy: 0.9660,  att accuracy: 0.4969,  MIA accuracy: 0.5781,  MIA auc: 0.6002,  MIA recall: 0.6928, 
Epoch [9/30],  U_d: -0.0992,  U_a: -1.0180,  test accuracy: 0.6246,  forget accuracy: 0.7850,  retain accuracy: 0.9592,  att accuracy: 0.4909,  MIA accuracy: 0.5772,  MIA auc: 0.5977,  MIA recall: 0.6800, 
Epoch [10/30],  U_d: -0.0864,  U_a: -0.9948,  test accuracy: 0.6170,  forget accuracy: 0.7718,  retain accuracy: 0.9495,  att accuracy: 0.5025,  MIA accuracy: 0.5702,  MIA auc: 0.5922,  MIA recall: 0.6662, 
Epoch [11/30],  U_d: -0.0278,  U_a: -0.9830,  test accuracy: 0.6006,  forget accuracy: 0.7552,  retain accuracy: 0.9366,  att accuracy: 0.5084,  MIA accuracy: 0.5598,  MIA auc: 0.5815,  MIA recall: 0.6540, 
