Epoch [1/30],  U_d: -0.0856,  U_a: -0.9941,  test accuracy: 0.6816,  forget accuracy: 0.9946,  retain accuracy: 0.9960,  att accuracy: 0.5029,  MIA accuracy: 0.6995,  MIA auc: 0.7531,  MIA recall: 0.9326, 
Epoch [2/30],  U_d: -0.5307,  U_a: -0.9874,  test accuracy: 0.5784,  forget accuracy: 0.7944,  retain accuracy: 0.8825,  att accuracy: 0.5062,  MIA accuracy: 0.6121,  MIA auc: 0.6522,  MIA recall: 0.7250, 
Epoch [3/30],  U_d: -0.2487,  U_a: -1.0004,  test accuracy: 0.5800,  forget accuracy: 0.7552,  retain accuracy: 0.8759,  att accuracy: 0.4997,  MIA accuracy: 0.5771,  MIA auc: 0.6135,  MIA recall: 0.6416, 
Epoch [4/30],  U_d: -0.3277,  U_a: -1.0042,  test accuracy: 0.5662,  forget accuracy: 0.7292,  retain accuracy: 0.8598,  att accuracy: 0.4978,  MIA accuracy: 0.5643,  MIA auc: 0.5877,  MIA recall: 0.6242, 
Epoch [5/30],  U_d: -0.1627,  U_a: -0.9826,  test accuracy: 0.6040,  forget accuracy: 0.7646,  retain accuracy: 0.9164,  att accuracy: 0.5086,  MIA accuracy: 0.5789,  MIA auc: 0.6050,  MIA recall: 0.6556, 
Epoch [6/30],  U_d: -0.1925,  U_a: -0.9974,  test accuracy: 0.6154,  forget accuracy: 0.7920,  retain accuracy: 0.9456,  att accuracy: 0.5012,  MIA accuracy: 0.5815,  MIA auc: 0.6104,  MIA recall: 0.6898, 
Epoch [7/30],  U_d: -0.1856,  U_a: -0.9942,  test accuracy: 0.6268,  forget accuracy: 0.7952,  retain accuracy: 0.9573,  att accuracy: 0.5028,  MIA accuracy: 0.5787,  MIA auc: 0.6080,  MIA recall: 0.6762, 
Epoch [8/30],  U_d: -0.0319,  U_a: -1.0018,  test accuracy: 0.6184,  forget accuracy: 0.7930,  retain accuracy: 0.9603,  att accuracy: 0.4990,  MIA accuracy: 0.5766,  MIA auc: 0.6027,  MIA recall: 0.6916, 
Epoch [9/30],  U_d: -0.0330,  U_a: -1.0052,  test accuracy: 0.6130,  forget accuracy: 0.7576,  retain accuracy: 0.9452,  att accuracy: 0.4973,  MIA accuracy: 0.5624,  MIA auc: 0.5906,  MIA recall: 0.6694, 
Epoch [10/30],  U_d: -0.0678,  U_a: -1.0102,  test accuracy: 0.6142,  forget accuracy: 0.7648,  retain accuracy: 0.9542,  att accuracy: 0.4948,  MIA accuracy: 0.5673,  MIA auc: 0.5938,  MIA recall: 0.6562, 
Epoch [11/30],  U_d: -0.0310,  U_a: -0.9952,  test accuracy: 0.6182,  forget accuracy: 0.7550,  retain accuracy: 0.9437,  att accuracy: 0.5023,  MIA accuracy: 0.5663,  MIA auc: 0.5925,  MIA recall: 0.6592, 
Epoch [12/30],  U_d: -0.0357,  U_a: -1.0114,  test accuracy: 0.6190,  forget accuracy: 0.7504,  retain accuracy: 0.9470,  att accuracy: 0.4942,  MIA accuracy: 0.5699,  MIA auc: 0.5939,  MIA recall: 0.6648, 
Epoch [13/30],  U_d: -0.0224,  U_a: -0.9938,  test accuracy: 0.6054,  forget accuracy: 0.7342,  retain accuracy: 0.9419,  att accuracy: 0.5030,  MIA accuracy: 0.5559,  MIA auc: 0.5815,  MIA recall: 0.6368, 
Epoch [14/30],  U_d: -0.0858,  U_a: -1.0026,  test accuracy: 0.5952,  forget accuracy: 0.7236,  retain accuracy: 0.9318,  att accuracy: 0.4986,  MIA accuracy: 0.5482,  MIA auc: 0.5780,  MIA recall: 0.6260, 
Epoch [15/30],  U_d: -0.0756,  U_a: -0.9910,  test accuracy: 0.6070,  forget accuracy: 0.7202,  retain accuracy: 0.9377,  att accuracy: 0.5044,  MIA accuracy: 0.5565,  MIA auc: 0.5830,  MIA recall: 0.6326, 
Epoch [16/30],  U_d: -0.2284,  U_a: -0.9832,  test accuracy: 0.6116,  forget accuracy: 0.7244,  retain accuracy: 0.9406,  att accuracy: 0.5083,  MIA accuracy: 0.5618,  MIA auc: 0.5838,  MIA recall: 0.6350, 
Epoch [17/30],  U_d: -0.1069,  U_a: -1.0074,  test accuracy: 0.5958,  forget accuracy: 0.6994,  retain accuracy: 0.9293,  att accuracy: 0.4962,  MIA accuracy: 0.5527,  MIA auc: 0.5747,  MIA recall: 0.6202, 
Epoch [18/30],  U_d: -0.0309,  U_a: -0.9866,  test accuracy: 0.5998,  forget accuracy: 0.7082,  retain accuracy: 0.9381,  att accuracy: 0.5066,  MIA accuracy: 0.5475,  MIA auc: 0.5701,  MIA recall: 0.6210, 
Epoch [19/30],  U_d: -0.0478,  U_a: -0.9714,  test accuracy: 0.5904,  forget accuracy: 0.6894,  retain accuracy: 0.9291,  att accuracy: 0.5142,  MIA accuracy: 0.5522,  MIA auc: 0.5745,  MIA recall: 0.6124, 
Epoch [20/30],  U_d: -0.2049,  U_a: -1.0076,  test accuracy: 0.5846,  forget accuracy: 0.6844,  retain accuracy: 0.9305,  att accuracy: 0.4961,  MIA accuracy: 0.5428,  MIA auc: 0.5628,  MIA recall: 0.6032, 
Epoch [21/30],  U_d: -0.0624,  U_a: -1.0176,  test accuracy: 0.5790,  forget accuracy: 0.6738,  retain accuracy: 0.9267,  att accuracy: 0.4911,  MIA accuracy: 0.5360,  MIA auc: 0.5516,  MIA recall: 0.5910, 
Epoch [22/30],  U_d: -0.0615,  U_a: -0.9984,  test accuracy: 0.5786,  forget accuracy: 0.6720,  retain accuracy: 0.9165,  att accuracy: 0.5007,  MIA accuracy: 0.5423,  MIA auc: 0.5602,  MIA recall: 0.5990, 
Epoch [23/30],  U_d: -0.1245,  U_a: -1.0096,  test accuracy: 0.5806,  forget accuracy: 0.6702,  retain accuracy: 0.9251,  att accuracy: 0.4951,  MIA accuracy: 0.5468,  MIA auc: 0.5625,  MIA recall: 0.5976, 
Epoch [24/30],  U_d: -0.0296,  U_a: -0.9966,  test accuracy: 0.5754,  forget accuracy: 0.6562,  retain accuracy: 0.9156,  att accuracy: 0.5016,  MIA accuracy: 0.5328,  MIA auc: 0.5426,  MIA recall: 0.5924, 
Epoch [25/30],  U_d: -0.1226,  U_a: -0.9824,  test accuracy: 0.5836,  forget accuracy: 0.6666,  retain accuracy: 0.9338,  att accuracy: 0.5087,  MIA accuracy: 0.5416,  MIA auc: 0.5641,  MIA recall: 0.5882, 
Epoch [26/30],  U_d: -0.0810,  U_a: -0.9852,  test accuracy: 0.5732,  forget accuracy: 0.6464,  retain accuracy: 0.9151,  att accuracy: 0.5073,  MIA accuracy: 0.5352,  MIA auc: 0.5484,  MIA recall: 0.5810, 
Epoch [27/30],  U_d: -0.0866,  U_a: -0.9984,  test accuracy: 0.5662,  forget accuracy: 0.6424,  retain accuracy: 0.9148,  att accuracy: 0.5007,  MIA accuracy: 0.5362,  MIA auc: 0.5502,  MIA recall: 0.5816, 
Epoch [28/30],  U_d: -0.0987,  U_a: -1.0114,  test accuracy: 0.5590,  forget accuracy: 0.6376,  retain accuracy: 0.9104,  att accuracy: 0.4942,  MIA accuracy: 0.5227,  MIA auc: 0.5384,  MIA recall: 0.5674, 
Epoch [29/30],  U_d: -0.0783,  U_a: -0.9926,  test accuracy: 0.5672,  forget accuracy: 0.6478,  retain accuracy: 0.9252,  att accuracy: 0.5036,  MIA accuracy: 0.5394,  MIA auc: 0.5512,  MIA recall: 0.5820, 
Epoch [30/30],  U_d: -0.1394,  U_a: -0.9962,  test accuracy: 0.5648,  forget accuracy: 0.6290,  retain accuracy: 0.9079,  att accuracy: 0.5018,  MIA accuracy: 0.5280,  MIA auc: 0.5417,  MIA recall: 0.5758, 
Epoch [1/30],  U_d: -0.0984,  U_a: -0.9941,  test accuracy: 0.7030,  forget accuracy: 0.9954,  retain accuracy: 0.9966,  att accuracy: 0.5029,  MIA accuracy: 0.6974,  MIA auc: 0.7505,  MIA recall: 0.9340, 
Epoch [2/30],  U_d: -0.4959,  U_a: -0.9874,  test accuracy: 0.5920,  forget accuracy: 0.8020,  retain accuracy: 0.8748,  att accuracy: 0.5062,  MIA accuracy: 0.6009,  MIA auc: 0.6321,  MIA recall: 0.6858, 
