Epoch [1/30],  U_d: -0.0785,  U_a: -0.9973,  test accuracy: 0.6818,  forget accuracy: 0.9928,  retain accuracy: 0.9960,  att accuracy: 0.5013,  MIA accuracy: 0.7024,  MIA auc: 0.7445,  MIA recall: 0.9314, 
Epoch [2/30],  U_d: -0.6062,  U_a: -0.9902,  test accuracy: 0.5864,  forget accuracy: 0.8062,  retain accuracy: 0.8798,  att accuracy: 0.5048,  MIA accuracy: 0.6059,  MIA auc: 0.6369,  MIA recall: 0.7298, 
Epoch [3/30],  U_d: -0.4717,  U_a: -1.0068,  test accuracy: 0.5800,  forget accuracy: 0.7710,  retain accuracy: 0.8820,  att accuracy: 0.4965,  MIA accuracy: 0.5758,  MIA auc: 0.6138,  MIA recall: 0.6542, 
Epoch [4/30],  U_d: -0.2541,  U_a: -0.9852,  test accuracy: 0.5872,  forget accuracy: 0.7526,  retain accuracy: 0.8876,  att accuracy: 0.5073,  MIA accuracy: 0.5755,  MIA auc: 0.6018,  MIA recall: 0.6490, 
Epoch [5/30],  U_d: -0.1972,  U_a: -1.0076,  test accuracy: 0.6056,  forget accuracy: 0.7822,  retain accuracy: 0.9276,  att accuracy: 0.4961,  MIA accuracy: 0.5725,  MIA auc: 0.6064,  MIA recall: 0.6712, 
Epoch [6/30],  U_d: -0.1048,  U_a: -0.9936,  test accuracy: 0.6122,  forget accuracy: 0.7908,  retain accuracy: 0.9433,  att accuracy: 0.5031,  MIA accuracy: 0.5761,  MIA auc: 0.6040,  MIA recall: 0.6778, 
Epoch [7/30],  U_d: -0.1332,  U_a: -1.0090,  test accuracy: 0.6110,  forget accuracy: 0.7838,  retain accuracy: 0.9457,  att accuracy: 0.4954,  MIA accuracy: 0.5712,  MIA auc: 0.5994,  MIA recall: 0.6814, 
Epoch [8/30],  U_d: -0.0458,  U_a: -1.0074,  test accuracy: 0.6208,  forget accuracy: 0.7780,  retain accuracy: 0.9468,  att accuracy: 0.4962,  MIA accuracy: 0.5742,  MIA auc: 0.6013,  MIA recall: 0.6786, 
Epoch [9/30],  U_d: -0.0499,  U_a: -0.9942,  test accuracy: 0.6160,  forget accuracy: 0.7800,  retain accuracy: 0.9492,  att accuracy: 0.5028,  MIA accuracy: 0.5698,  MIA auc: 0.5974,  MIA recall: 0.6782, 
Epoch [10/30],  U_d: -0.1039,  U_a: -0.9958,  test accuracy: 0.6118,  forget accuracy: 0.7576,  retain accuracy: 0.9387,  att accuracy: 0.5020,  MIA accuracy: 0.5584,  MIA auc: 0.5863,  MIA recall: 0.6436, 
Epoch [11/30],  U_d: -0.0593,  U_a: -0.9924,  test accuracy: 0.5814,  forget accuracy: 0.7120,  retain accuracy: 0.8990,  att accuracy: 0.5037,  MIA accuracy: 0.5573,  MIA auc: 0.5894,  MIA recall: 0.6316, 
Epoch [12/30],  U_d: -0.0988,  U_a: -1.0018,  test accuracy: 0.6012,  forget accuracy: 0.7444,  retain accuracy: 0.9262,  att accuracy: 0.4990,  MIA accuracy: 0.5617,  MIA auc: 0.5862,  MIA recall: 0.6492, 
Epoch [13/30],  U_d: -0.0788,  U_a: -1.0002,  test accuracy: 0.5942,  forget accuracy: 0.7334,  retain accuracy: 0.9331,  att accuracy: 0.4998,  MIA accuracy: 0.5575,  MIA auc: 0.5853,  MIA recall: 0.6308, 
Epoch [14/30],  U_d: -0.1438,  U_a: -0.9956,  test accuracy: 0.5916,  forget accuracy: 0.7166,  retain accuracy: 0.9187,  att accuracy: 0.5021,  MIA accuracy: 0.5559,  MIA auc: 0.5839,  MIA recall: 0.6290, 
Epoch [15/30],  U_d: -0.1098,  U_a: -1.0244,  test accuracy: 0.5986,  forget accuracy: 0.7142,  retain accuracy: 0.9275,  att accuracy: 0.4877,  MIA accuracy: 0.5478,  MIA auc: 0.5739,  MIA recall: 0.6206, 
Epoch [16/30],  U_d: -0.1640,  U_a: -0.9904,  test accuracy: 0.5804,  forget accuracy: 0.7024,  retain accuracy: 0.9151,  att accuracy: 0.5047,  MIA accuracy: 0.5568,  MIA auc: 0.5822,  MIA recall: 0.6332, 
Epoch [17/30],  U_d: -0.1603,  U_a: -1.0020,  test accuracy: 0.5866,  forget accuracy: 0.7024,  retain accuracy: 0.9215,  att accuracy: 0.4989,  MIA accuracy: 0.5528,  MIA auc: 0.5766,  MIA recall: 0.6354, 
Epoch [18/30],  U_d: -0.2260,  U_a: -1.0070,  test accuracy: 0.5958,  forget accuracy: 0.7122,  retain accuracy: 0.9359,  att accuracy: 0.4964,  MIA accuracy: 0.5555,  MIA auc: 0.5796,  MIA recall: 0.6404, 
Epoch [19/30],  U_d: -0.1249,  U_a: -1.0056,  test accuracy: 0.5844,  forget accuracy: 0.6870,  retain accuracy: 0.9162,  att accuracy: 0.4971,  MIA accuracy: 0.5517,  MIA auc: 0.5671,  MIA recall: 0.6284, 
Epoch [20/30],  U_d: -0.0649,  U_a: -0.9874,  test accuracy: 0.5884,  forget accuracy: 0.6936,  retain accuracy: 0.9245,  att accuracy: 0.5062,  MIA accuracy: 0.5445,  MIA auc: 0.5620,  MIA recall: 0.6054, 
Epoch [21/30],  U_d: -0.1308,  U_a: -0.9902,  test accuracy: 0.5764,  forget accuracy: 0.6746,  retain accuracy: 0.9173,  att accuracy: 0.5048,  MIA accuracy: 0.5346,  MIA auc: 0.5580,  MIA recall: 0.5930, 
Epoch [22/30],  U_d: -0.0885,  U_a: -0.9868,  test accuracy: 0.5626,  forget accuracy: 0.6514,  retain accuracy: 0.8912,  att accuracy: 0.5065,  MIA accuracy: 0.5353,  MIA auc: 0.5583,  MIA recall: 0.5796, 
Epoch [23/30],  U_d: -0.1004,  U_a: -1.0038,  test accuracy: 0.5716,  forget accuracy: 0.6628,  retain accuracy: 0.9067,  att accuracy: 0.4980,  MIA accuracy: 0.5354,  MIA auc: 0.5580,  MIA recall: 0.5842, 
Epoch [24/30],  U_d: -0.0544,  U_a: -0.9904,  test accuracy: 0.5792,  forget accuracy: 0.6690,  retain accuracy: 0.9146,  att accuracy: 0.5047,  MIA accuracy: 0.5410,  MIA auc: 0.5551,  MIA recall: 0.5954, 
Epoch [25/30],  U_d: -0.1000,  U_a: -0.9914,  test accuracy: 0.5780,  forget accuracy: 0.6736,  retain accuracy: 0.9328,  att accuracy: 0.5042,  MIA accuracy: 0.5444,  MIA auc: 0.5653,  MIA recall: 0.6084, 
Epoch [26/30],  U_d: -0.1060,  U_a: -1.0012,  test accuracy: 0.5768,  forget accuracy: 0.6668,  retain accuracy: 0.9192,  att accuracy: 0.4993,  MIA accuracy: 0.5456,  MIA auc: 0.5680,  MIA recall: 0.5906, 
Epoch [27/30],  U_d: -0.1353,  U_a: -0.9898,  test accuracy: 0.5608,  forget accuracy: 0.6502,  retain accuracy: 0.9022,  att accuracy: 0.5050,  MIA accuracy: 0.5444,  MIA auc: 0.5578,  MIA recall: 0.5768, 
Epoch [28/30],  U_d: -0.0924,  U_a: -1.0044,  test accuracy: 0.5580,  forget accuracy: 0.6382,  retain accuracy: 0.8955,  att accuracy: 0.4977,  MIA accuracy: 0.5403,  MIA auc: 0.5555,  MIA recall: 0.5836, 
