Epoch [1/30],  U_d: -0.1136,  U_a: -1.0047,  test accuracy: 0.6780,  forget accuracy: 0.9916,  retain accuracy: 0.9956,  att accuracy: 0.4976,  MIA accuracy: 0.6990,  MIA auc: 0.7489,  MIA recall: 0.9364, 
Epoch [2/30],  U_d: -0.5885,  U_a: -1.0106,  test accuracy: 0.5906,  forget accuracy: 0.8168,  retain accuracy: 0.8926,  att accuracy: 0.4946,  MIA accuracy: 0.6064,  MIA auc: 0.6474,  MIA recall: 0.7254, 
Epoch [3/30],  U_d: -0.6082,  U_a: -1.0038,  test accuracy: 0.5962,  forget accuracy: 0.7796,  retain accuracy: 0.8907,  att accuracy: 0.4980,  MIA accuracy: 0.5786,  MIA auc: 0.6100,  MIA recall: 0.6604, 
Epoch [4/30],  U_d: -0.3206,  U_a: -1.0108,  test accuracy: 0.6068,  forget accuracy: 0.7656,  retain accuracy: 0.9054,  att accuracy: 0.4945,  MIA accuracy: 0.5711,  MIA auc: 0.6002,  MIA recall: 0.6282, 
Epoch [5/30],  U_d: -0.1368,  U_a: -1.0004,  test accuracy: 0.6110,  forget accuracy: 0.7776,  retain accuracy: 0.9244,  att accuracy: 0.4997,  MIA accuracy: 0.5711,  MIA auc: 0.6005,  MIA recall: 0.6532, 
Epoch [6/30],  U_d: -0.1124,  U_a: -0.9874,  test accuracy: 0.6234,  forget accuracy: 0.7946,  retain accuracy: 0.9509,  att accuracy: 0.5062,  MIA accuracy: 0.5851,  MIA auc: 0.6057,  MIA recall: 0.6816, 
Epoch [7/30],  U_d: -0.1835,  U_a: -0.9930,  test accuracy: 0.6248,  forget accuracy: 0.7888,  retain accuracy: 0.9547,  att accuracy: 0.5034,  MIA accuracy: 0.5800,  MIA auc: 0.6104,  MIA recall: 0.6808, 
Epoch [8/30],  U_d: -0.2731,  U_a: -0.9986,  test accuracy: 0.6224,  forget accuracy: 0.7888,  retain accuracy: 0.9620,  att accuracy: 0.5006,  MIA accuracy: 0.5804,  MIA auc: 0.6133,  MIA recall: 0.6708, 
Epoch [9/30],  U_d: -0.0385,  U_a: -1.0104,  test accuracy: 0.6170,  forget accuracy: 0.7774,  retain accuracy: 0.9533,  att accuracy: 0.4947,  MIA accuracy: 0.5713,  MIA auc: 0.5970,  MIA recall: 0.6710, 
Epoch [10/30],  U_d: -0.0330,  U_a: -1.0008,  test accuracy: 0.6144,  forget accuracy: 0.7524,  retain accuracy: 0.9462,  att accuracy: 0.4995,  MIA accuracy: 0.5738,  MIA auc: 0.5979,  MIA recall: 0.6576, 
Epoch [11/30],  U_d: -0.0347,  U_a: -0.9966,  test accuracy: 0.6140,  forget accuracy: 0.7562,  retain accuracy: 0.9507,  att accuracy: 0.5016,  MIA accuracy: 0.5652,  MIA auc: 0.5934,  MIA recall: 0.6468, 
Epoch [12/30],  U_d: -0.0236,  U_a: -1.0024,  test accuracy: 0.6146,  forget accuracy: 0.7596,  retain accuracy: 0.9532,  att accuracy: 0.4987,  MIA accuracy: 0.5701,  MIA auc: 0.5943,  MIA recall: 0.6606, 
Epoch [13/30],  U_d: -0.0644,  U_a: -1.0180,  test accuracy: 0.5968,  forget accuracy: 0.7346,  retain accuracy: 0.9318,  att accuracy: 0.4909,  MIA accuracy: 0.5662,  MIA auc: 0.5885,  MIA recall: 0.6314, 
Epoch [14/30],  U_d: -0.0810,  U_a: -0.9912,  test accuracy: 0.6006,  forget accuracy: 0.7284,  retain accuracy: 0.9354,  att accuracy: 0.5043,  MIA accuracy: 0.5650,  MIA auc: 0.5897,  MIA recall: 0.6290, 
Epoch [15/30],  U_d: -0.0898,  U_a: -1.0138,  test accuracy: 0.5980,  forget accuracy: 0.7242,  retain accuracy: 0.9409,  att accuracy: 0.4930,  MIA accuracy: 0.5578,  MIA auc: 0.5815,  MIA recall: 0.6234, 
Epoch [16/30],  U_d: -0.1464,  U_a: -1.0066,  test accuracy: 0.5842,  forget accuracy: 0.6962,  retain accuracy: 0.9235,  att accuracy: 0.4966,  MIA accuracy: 0.5447,  MIA auc: 0.5657,  MIA recall: 0.6094, 
Epoch [17/30],  U_d: -0.0417,  U_a: -1.0004,  test accuracy: 0.5934,  forget accuracy: 0.7058,  retain accuracy: 0.9377,  att accuracy: 0.4997,  MIA accuracy: 0.5581,  MIA auc: 0.5733,  MIA recall: 0.6086, 
Epoch [18/30],  U_d: -0.0447,  U_a: -0.9992,  test accuracy: 0.5814,  forget accuracy: 0.6930,  retain accuracy: 0.9248,  att accuracy: 0.5003,  MIA accuracy: 0.5484,  MIA auc: 0.5651,  MIA recall: 0.6158, 
Epoch [19/30],  U_d: -0.1200,  U_a: -0.9952,  test accuracy: 0.5790,  forget accuracy: 0.6848,  retain accuracy: 0.9177,  att accuracy: 0.5023,  MIA accuracy: 0.5453,  MIA auc: 0.5633,  MIA recall: 0.5994, 
Epoch [20/30],  U_d: -0.1126,  U_a: -1.0086,  test accuracy: 0.5922,  forget accuracy: 0.6904,  retain accuracy: 0.9427,  att accuracy: 0.4956,  MIA accuracy: 0.5457,  MIA auc: 0.5701,  MIA recall: 0.6018, 
Epoch [21/30],  U_d: -0.0599,  U_a: -0.9938,  test accuracy: 0.5774,  forget accuracy: 0.6774,  retain accuracy: 0.9328,  att accuracy: 0.5030,  MIA accuracy: 0.5424,  MIA auc: 0.5572,  MIA recall: 0.5866, 
Epoch [22/30],  U_d: -0.0956,  U_a: -1.0000,  test accuracy: 0.5818,  forget accuracy: 0.6662,  retain accuracy: 0.9208,  att accuracy: 0.4999,  MIA accuracy: 0.5408,  MIA auc: 0.5497,  MIA recall: 0.5908, 
Epoch [23/30],  U_d: -0.0949,  U_a: -0.9986,  test accuracy: 0.5774,  forget accuracy: 0.6636,  retain accuracy: 0.9241,  att accuracy: 0.5006,  MIA accuracy: 0.5340,  MIA auc: 0.5511,  MIA recall: 0.5782, 
Epoch [24/30],  U_d: -0.0417,  U_a: -1.0100,  test accuracy: 0.5656,  forget accuracy: 0.6560,  retain accuracy: 0.9174,  att accuracy: 0.4949,  MIA accuracy: 0.5407,  MIA auc: 0.5488,  MIA recall: 0.5806, 
Epoch [25/30],  U_d: -0.0345,  U_a: -1.0022,  test accuracy: 0.5860,  forget accuracy: 0.6654,  retain accuracy: 0.9326,  att accuracy: 0.4988,  MIA accuracy: 0.5384,  MIA auc: 0.5502,  MIA recall: 0.5882, 
