Epoch [1/90],  U_d: -0.0846,  U_a: -0.9973,  test accuracy: 0.6738,  forget accuracy: 0.9888,  retain accuracy: 0.9931,  att accuracy: 0.5013,  MIA accuracy: 0.6945,  MIA auc: 0.7394,  MIA recall: 0.9226, 
Epoch [2/90],  U_d: -0.5950,  U_a: -0.9902,  test accuracy: 0.5754,  forget accuracy: 0.8088,  retain accuracy: 0.8792,  att accuracy: 0.5048,  MIA accuracy: 0.6049,  MIA auc: 0.6427,  MIA recall: 0.7274, 
Epoch [3/90],  U_d: -0.5518,  U_a: -1.0068,  test accuracy: 0.5614,  forget accuracy: 0.7436,  retain accuracy: 0.8539,  att accuracy: 0.4965,  MIA accuracy: 0.5706,  MIA auc: 0.6070,  MIA recall: 0.6516, 
Epoch [4/90],  U_d: -0.2829,  U_a: -0.9852,  test accuracy: 0.5928,  forget accuracy: 0.7666,  retain accuracy: 0.9002,  att accuracy: 0.5073,  MIA accuracy: 0.5678,  MIA auc: 0.6031,  MIA recall: 0.6572, 
Epoch [5/90],  U_d: -0.1038,  U_a: -1.0076,  test accuracy: 0.6008,  forget accuracy: 0.7858,  retain accuracy: 0.9280,  att accuracy: 0.4961,  MIA accuracy: 0.5770,  MIA auc: 0.6057,  MIA recall: 0.6846, 
Epoch [6/90],  U_d: -0.2879,  U_a: -0.9936,  test accuracy: 0.6216,  forget accuracy: 0.8060,  retain accuracy: 0.9531,  att accuracy: 0.5031,  MIA accuracy: 0.5750,  MIA auc: 0.6073,  MIA recall: 0.6816, 
Epoch [7/90],  U_d: -0.2282,  U_a: -1.0090,  test accuracy: 0.6220,  forget accuracy: 0.7948,  retain accuracy: 0.9511,  att accuracy: 0.4954,  MIA accuracy: 0.5821,  MIA auc: 0.6103,  MIA recall: 0.6914, 
Epoch [8/90],  U_d: -0.0797,  U_a: -1.0074,  test accuracy: 0.6154,  forget accuracy: 0.7948,  retain accuracy: 0.9570,  att accuracy: 0.4962,  MIA accuracy: 0.5790,  MIA auc: 0.6146,  MIA recall: 0.6930, 
Epoch [9/90],  U_d: -0.0254,  U_a: -0.9942,  test accuracy: 0.6210,  forget accuracy: 0.7918,  retain accuracy: 0.9620,  att accuracy: 0.5028,  MIA accuracy: 0.5802,  MIA auc: 0.6103,  MIA recall: 0.6942, 
Epoch [10/90],  U_d: -0.0706,  U_a: -0.9958,  test accuracy: 0.6230,  forget accuracy: 0.7788,  retain accuracy: 0.9527,  att accuracy: 0.5020,  MIA accuracy: 0.5703,  MIA auc: 0.6014,  MIA recall: 0.6632, 
Epoch [11/90],  U_d: -0.0523,  U_a: -0.9924,  test accuracy: 0.6054,  forget accuracy: 0.7578,  retain accuracy: 0.9346,  att accuracy: 0.5037,  MIA accuracy: 0.5695,  MIA auc: 0.6014,  MIA recall: 0.6584, 
Epoch [12/90],  U_d: -0.0638,  U_a: -1.0018,  test accuracy: 0.6050,  forget accuracy: 0.7480,  retain accuracy: 0.9317,  att accuracy: 0.4990,  MIA accuracy: 0.5661,  MIA auc: 0.5964,  MIA recall: 0.6606, 
Epoch [13/90],  U_d: -0.0642,  U_a: -1.0002,  test accuracy: 0.6068,  forget accuracy: 0.7484,  retain accuracy: 0.9390,  att accuracy: 0.4998,  MIA accuracy: 0.5609,  MIA auc: 0.5931,  MIA recall: 0.6482, 
Epoch [14/90],  U_d: -0.0528,  U_a: -0.9956,  test accuracy: 0.5998,  forget accuracy: 0.7306,  retain accuracy: 0.9335,  att accuracy: 0.5021,  MIA accuracy: 0.5563,  MIA auc: 0.5878,  MIA recall: 0.6422, 
Epoch [15/90],  U_d: -0.0340,  U_a: -1.0244,  test accuracy: 0.5984,  forget accuracy: 0.7244,  retain accuracy: 0.9319,  att accuracy: 0.4877,  MIA accuracy: 0.5525,  MIA auc: 0.5769,  MIA recall: 0.6368, 
Epoch [16/90],  U_d: -0.1068,  U_a: -0.9904,  test accuracy: 0.6066,  forget accuracy: 0.7244,  retain accuracy: 0.9406,  att accuracy: 0.5047,  MIA accuracy: 0.5668,  MIA auc: 0.5890,  MIA recall: 0.6450, 
Epoch [17/90],  U_d: -0.0350,  U_a: -1.0020,  test accuracy: 0.5986,  forget accuracy: 0.7122,  retain accuracy: 0.9359,  att accuracy: 0.4989,  MIA accuracy: 0.5489,  MIA auc: 0.5733,  MIA recall: 0.6382, 
Epoch [18/90],  U_d: -0.0953,  U_a: -1.0070,  test accuracy: 0.6078,  forget accuracy: 0.7290,  retain accuracy: 0.9471,  att accuracy: 0.4964,  MIA accuracy: 0.5641,  MIA auc: 0.5814,  MIA recall: 0.6534, 
Epoch [19/90],  U_d: -0.1578,  U_a: -1.0056,  test accuracy: 0.5882,  forget accuracy: 0.6886,  retain accuracy: 0.9161,  att accuracy: 0.4971,  MIA accuracy: 0.5480,  MIA auc: 0.5714,  MIA recall: 0.6270, 
Epoch [20/90],  U_d: -0.0584,  U_a: -0.9874,  test accuracy: 0.5856,  forget accuracy: 0.6942,  retain accuracy: 0.9277,  att accuracy: 0.5062,  MIA accuracy: 0.5432,  MIA auc: 0.5653,  MIA recall: 0.6138, 
Epoch [21/90],  U_d: -0.1133,  U_a: -0.9902,  test accuracy: 0.5822,  forget accuracy: 0.6826,  retain accuracy: 0.9237,  att accuracy: 0.5048,  MIA accuracy: 0.5406,  MIA auc: 0.5624,  MIA recall: 0.6032, 
Epoch [22/90],  U_d: -0.0674,  U_a: -0.9868,  test accuracy: 0.5748,  forget accuracy: 0.6718,  retain accuracy: 0.9159,  att accuracy: 0.5065,  MIA accuracy: 0.5545,  MIA auc: 0.5708,  MIA recall: 0.6124, 
Epoch [23/90],  U_d: -0.1193,  U_a: -1.0038,  test accuracy: 0.5816,  forget accuracy: 0.6796,  retain accuracy: 0.9229,  att accuracy: 0.4980,  MIA accuracy: 0.5469,  MIA auc: 0.5720,  MIA recall: 0.6026, 
Epoch [24/90],  U_d: -0.1536,  U_a: -0.9904,  test accuracy: 0.5728,  forget accuracy: 0.6640,  retain accuracy: 0.9159,  att accuracy: 0.5047,  MIA accuracy: 0.5364,  MIA auc: 0.5576,  MIA recall: 0.5822, 
Epoch [25/90],  U_d: -0.1035,  U_a: -0.9914,  test accuracy: 0.5708,  forget accuracy: 0.6588,  retain accuracy: 0.9098,  att accuracy: 0.5042,  MIA accuracy: 0.5440,  MIA auc: 0.5622,  MIA recall: 0.5956, 
Epoch [26/90],  U_d: -0.0529,  U_a: -1.0012,  test accuracy: 0.5806,  forget accuracy: 0.6726,  retain accuracy: 0.9376,  att accuracy: 0.4993,  MIA accuracy: 0.5444,  MIA auc: 0.5689,  MIA recall: 0.5946, 
Epoch [27/90],  U_d: -0.0534,  U_a: -0.9898,  test accuracy: 0.5742,  forget accuracy: 0.6554,  retain accuracy: 0.9185,  att accuracy: 0.5050,  MIA accuracy: 0.5361,  MIA auc: 0.5544,  MIA recall: 0.5788, 
Epoch [28/90],  U_d: -0.1064,  U_a: -1.0044,  test accuracy: 0.5748,  forget accuracy: 0.6546,  retain accuracy: 0.9137,  att accuracy: 0.4977,  MIA accuracy: 0.5430,  MIA auc: 0.5579,  MIA recall: 0.5862, 
Epoch [29/90],  U_d: -0.1045,  U_a: -0.9810,  test accuracy: 0.5600,  forget accuracy: 0.6416,  retain accuracy: 0.8989,  att accuracy: 0.5094,  MIA accuracy: 0.5409,  MIA auc: 0.5607,  MIA recall: 0.5918, 
Epoch [30/90],  U_d: -0.0833,  U_a: -0.9996,  test accuracy: 0.5744,  forget accuracy: 0.6544,  retain accuracy: 0.9181,  att accuracy: 0.5001,  MIA accuracy: 0.5408,  MIA auc: 0.5562,  MIA recall: 0.5784, 
Epoch [31/90],  U_d: -0.0563,  U_a: -1.0134,  test accuracy: 0.5580,  forget accuracy: 0.6290,  retain accuracy: 0.8963,  att accuracy: 0.4932,  MIA accuracy: 0.5345,  MIA auc: 0.5465,  MIA recall: 0.5648, 
Epoch [32/90],  U_d: -0.0898,  U_a: -1.0018,  test accuracy: 0.5610,  forget accuracy: 0.6340,  retain accuracy: 0.9016,  att accuracy: 0.4990,  MIA accuracy: 0.5336,  MIA auc: 0.5450,  MIA recall: 0.5668, 
Epoch [33/90],  U_d: -0.0703,  U_a: -0.9984,  test accuracy: 0.5596,  forget accuracy: 0.6344,  retain accuracy: 0.9120,  att accuracy: 0.5007,  MIA accuracy: 0.5255,  MIA auc: 0.5439,  MIA recall: 0.5582, 
Epoch [34/90],  U_d: -0.1117,  U_a: -0.9932,  test accuracy: 0.5528,  forget accuracy: 0.6124,  retain accuracy: 0.8831,  att accuracy: 0.5033,  MIA accuracy: 0.5230,  MIA auc: 0.5422,  MIA recall: 0.5294, 
Epoch [35/90],  U_d: -0.0154,  U_a: -1.0052,  test accuracy: 0.5562,  forget accuracy: 0.6200,  retain accuracy: 0.8945,  att accuracy: 0.4973,  MIA accuracy: 0.5367,  MIA auc: 0.5499,  MIA recall: 0.5654, 
Epoch [36/90],  U_d: -0.0596,  U_a: -0.9976,  test accuracy: 0.5624,  forget accuracy: 0.6308,  retain accuracy: 0.9154,  att accuracy: 0.5011,  MIA accuracy: 0.5375,  MIA auc: 0.5554,  MIA recall: 0.5692, 
Epoch [37/90],  U_d: -0.0493,  U_a: -0.9920,  test accuracy: 0.5646,  forget accuracy: 0.6232,  retain accuracy: 0.9093,  att accuracy: 0.5039,  MIA accuracy: 0.5272,  MIA auc: 0.5425,  MIA recall: 0.5478, 
Epoch [38/90],  U_d: -0.1396,  U_a: -1.0022,  test accuracy: 0.5414,  forget accuracy: 0.6004,  retain accuracy: 0.8736,  att accuracy: 0.4988,  MIA accuracy: 0.5325,  MIA auc: 0.5473,  MIA recall: 0.5280, 
Epoch [39/90],  U_d: -0.1654,  U_a: -0.9896,  test accuracy: 0.5396,  forget accuracy: 0.6016,  retain accuracy: 0.8822,  att accuracy: 0.5051,  MIA accuracy: 0.5340,  MIA auc: 0.5439,  MIA recall: 0.5436, 
Epoch [40/90],  U_d: -0.0876,  U_a: -1.0042,  test accuracy: 0.5444,  forget accuracy: 0.5988,  retain accuracy: 0.8809,  att accuracy: 0.4978,  MIA accuracy: 0.5345,  MIA auc: 0.5490,  MIA recall: 0.5442, 
Epoch [41/90],  U_d: -0.0938,  U_a: -0.9894,  test accuracy: 0.5468,  forget accuracy: 0.5986,  retain accuracy: 0.8801,  att accuracy: 0.5052,  MIA accuracy: 0.5186,  MIA auc: 0.5310,  MIA recall: 0.5308, 
Epoch [42/90],  U_d: -0.0513,  U_a: -1.0064,  test accuracy: 0.5404,  forget accuracy: 0.5938,  retain accuracy: 0.8786,  att accuracy: 0.4967,  MIA accuracy: 0.5215,  MIA auc: 0.5365,  MIA recall: 0.5294, 
Epoch [43/90],  U_d: -0.0529,  U_a: -1.0018,  test accuracy: 0.5392,  forget accuracy: 0.5856,  retain accuracy: 0.8711,  att accuracy: 0.4990,  MIA accuracy: 0.5287,  MIA auc: 0.5410,  MIA recall: 0.5346, 
Epoch [44/90],  U_d: -0.1158,  U_a: -0.9962,  test accuracy: 0.5356,  forget accuracy: 0.5826,  retain accuracy: 0.8693,  att accuracy: 0.5018,  MIA accuracy: 0.5257,  MIA auc: 0.5370,  MIA recall: 0.5300, 
Epoch [45/90],  U_d: -0.0588,  U_a: -0.9900,  test accuracy: 0.5408,  forget accuracy: 0.5938,  retain accuracy: 0.8823,  att accuracy: 0.5049,  MIA accuracy: 0.5264,  MIA auc: 0.5360,  MIA recall: 0.5248, 
Epoch [46/90],  U_d: -0.1025,  U_a: -1.0014,  test accuracy: 0.5412,  forget accuracy: 0.5890,  retain accuracy: 0.8894,  att accuracy: 0.4992,  MIA accuracy: 0.5220,  MIA auc: 0.5262,  MIA recall: 0.5210, 
Epoch [47/90],  U_d: -0.0463,  U_a: -1.0096,  test accuracy: 0.5248,  forget accuracy: 0.5588,  retain accuracy: 0.8514,  att accuracy: 0.4951,  MIA accuracy: 0.5365,  MIA auc: 0.5469,  MIA recall: 0.5338, 
Epoch [48/90],  U_d: -0.0752,  U_a: -1.0162,  test accuracy: 0.5246,  forget accuracy: 0.5618,  retain accuracy: 0.8486,  att accuracy: 0.4918,  MIA accuracy: 0.5178,  MIA auc: 0.5281,  MIA recall: 0.5114, 
Epoch [49/90],  U_d: -0.1118,  U_a: -1.0162,  test accuracy: 0.5216,  forget accuracy: 0.5506,  retain accuracy: 0.8478,  att accuracy: 0.4918,  MIA accuracy: 0.5276,  MIA auc: 0.5335,  MIA recall: 0.5158, 
Epoch [50/90],  U_d: -0.1122,  U_a: -0.9954,  test accuracy: 0.5346,  forget accuracy: 0.5816,  retain accuracy: 0.8838,  att accuracy: 0.5022,  MIA accuracy: 0.5237,  MIA auc: 0.5330,  MIA recall: 0.5248, 
Epoch [51/90],  U_d: -0.1165,  U_a: -0.9876,  test accuracy: 0.5474,  forget accuracy: 0.5844,  retain accuracy: 0.8982,  att accuracy: 0.5061,  MIA accuracy: 0.5313,  MIA auc: 0.5415,  MIA recall: 0.5246, 
Epoch [52/90],  U_d: -0.0254,  U_a: -1.0066,  test accuracy: 0.5426,  forget accuracy: 0.5772,  retain accuracy: 0.9008,  att accuracy: 0.4966,  MIA accuracy: 0.5281,  MIA auc: 0.5320,  MIA recall: 0.5418, 
Epoch [53/90],  U_d: -0.0529,  U_a: -0.9920,  test accuracy: 0.5072,  forget accuracy: 0.5416,  retain accuracy: 0.8267,  att accuracy: 0.5039,  MIA accuracy: 0.5257,  MIA auc: 0.5324,  MIA recall: 0.5172, 
Epoch [54/90],  U_d: -0.0425,  U_a: -1.0038,  test accuracy: 0.5082,  forget accuracy: 0.5382,  retain accuracy: 0.8284,  att accuracy: 0.4980,  MIA accuracy: 0.5255,  MIA auc: 0.5324,  MIA recall: 0.5190, 
Epoch [55/90],  U_d: -0.0650,  U_a: -1.0016,  test accuracy: 0.5272,  forget accuracy: 0.5590,  retain accuracy: 0.8734,  att accuracy: 0.4991,  MIA accuracy: 0.5242,  MIA auc: 0.5299,  MIA recall: 0.5186, 
Epoch [56/90],  U_d: -0.0477,  U_a: -0.9992,  test accuracy: 0.5282,  forget accuracy: 0.5600,  retain accuracy: 0.8769,  att accuracy: 0.5003,  MIA accuracy: 0.5224,  MIA auc: 0.5276,  MIA recall: 0.5210, 
Epoch [57/90],  U_d: -0.0595,  U_a: -1.0032,  test accuracy: 0.5278,  forget accuracy: 0.5500,  retain accuracy: 0.8674,  att accuracy: 0.4983,  MIA accuracy: 0.5272,  MIA auc: 0.5283,  MIA recall: 0.5194, 
Epoch [58/90],  U_d: -0.0703,  U_a: -0.9886,  test accuracy: 0.5262,  forget accuracy: 0.5576,  retain accuracy: 0.8711,  att accuracy: 0.5056,  MIA accuracy: 0.5172,  MIA auc: 0.5225,  MIA recall: 0.5090, 
Epoch [59/90],  U_d: -0.1036,  U_a: -0.9918,  test accuracy: 0.5308,  forget accuracy: 0.5606,  retain accuracy: 0.8840,  att accuracy: 0.5040,  MIA accuracy: 0.5322,  MIA auc: 0.5403,  MIA recall: 0.5208, 
Epoch [60/90],  U_d: -0.0231,  U_a: -0.9928,  test accuracy: 0.5268,  forget accuracy: 0.5638,  retain accuracy: 0.8955,  att accuracy: 0.5035,  MIA accuracy: 0.5279,  MIA auc: 0.5346,  MIA recall: 0.5404, 
Epoch [61/90],  U_d: -0.0577,  U_a: -0.9978,  test accuracy: 0.5242,  forget accuracy: 0.5568,  retain accuracy: 0.8839,  att accuracy: 0.5010,  MIA accuracy: 0.5161,  MIA auc: 0.5207,  MIA recall: 0.5062, 
Epoch [62/90],  U_d: -0.0884,  U_a: -1.0022,  test accuracy: 0.5212,  forget accuracy: 0.5548,  retain accuracy: 0.8844,  att accuracy: 0.4988,  MIA accuracy: 0.5191,  MIA auc: 0.5207,  MIA recall: 0.5152, 
Epoch [63/90],  U_d: -0.1244,  U_a: -1.0106,  test accuracy: 0.5296,  forget accuracy: 0.5588,  retain accuracy: 0.8986,  att accuracy: 0.4946,  MIA accuracy: 0.5227,  MIA auc: 0.5300,  MIA recall: 0.5246, 
Epoch [64/90],  U_d: -0.0668,  U_a: -0.9934,  test accuracy: 0.5120,  forget accuracy: 0.5370,  retain accuracy: 0.8594,  att accuracy: 0.5032,  MIA accuracy: 0.5213,  MIA auc: 0.5290,  MIA recall: 0.5122, 
Epoch [65/90],  U_d: -0.1178,  U_a: -0.9918,  test accuracy: 0.5006,  forget accuracy: 0.5308,  retain accuracy: 0.8440,  att accuracy: 0.5040,  MIA accuracy: 0.5234,  MIA auc: 0.5313,  MIA recall: 0.5072, 
Epoch [66/90],  U_d: -0.0366,  U_a: -1.0046,  test accuracy: 0.5208,  forget accuracy: 0.5460,  retain accuracy: 0.8847,  att accuracy: 0.4976,  MIA accuracy: 0.5176,  MIA auc: 0.5279,  MIA recall: 0.4992, 
Epoch [67/90],  U_d: -0.0469,  U_a: -1.0020,  test accuracy: 0.5070,  forget accuracy: 0.5366,  retain accuracy: 0.8619,  att accuracy: 0.4989,  MIA accuracy: 0.5205,  MIA auc: 0.5226,  MIA recall: 0.5058, 
Epoch [68/90],  U_d: -0.0562,  U_a: -0.9904,  test accuracy: 0.5022,  forget accuracy: 0.5232,  retain accuracy: 0.8440,  att accuracy: 0.5047,  MIA accuracy: 0.5159,  MIA auc: 0.5217,  MIA recall: 0.4980, 
Epoch [69/90],  U_d: -0.0271,  U_a: -1.0040,  test accuracy: 0.5018,  forget accuracy: 0.5372,  retain accuracy: 0.8560,  att accuracy: 0.4979,  MIA accuracy: 0.5237,  MIA auc: 0.5279,  MIA recall: 0.4976, 
Epoch [70/90],  U_d: -0.0932,  U_a: -1.0020,  test accuracy: 0.4946,  forget accuracy: 0.5162,  retain accuracy: 0.8425,  att accuracy: 0.4989,  MIA accuracy: 0.5103,  MIA auc: 0.5160,  MIA recall: 0.4860, 
Epoch [71/90],  U_d: -0.0587,  U_a: -1.0064,  test accuracy: 0.5024,  forget accuracy: 0.5264,  retain accuracy: 0.8540,  att accuracy: 0.4967,  MIA accuracy: 0.5222,  MIA auc: 0.5323,  MIA recall: 0.5148, 
Epoch [72/90],  U_d: -0.2696,  U_a: -1.0018,  test accuracy: 0.4874,  forget accuracy: 0.5088,  retain accuracy: 0.8237,  att accuracy: 0.4990,  MIA accuracy: 0.5176,  MIA auc: 0.5272,  MIA recall: 0.4964, 
Epoch [73/90],  U_d: -0.1482,  U_a: -0.9876,  test accuracy: 0.5000,  forget accuracy: 0.5268,  retain accuracy: 0.8694,  att accuracy: 0.5061,  MIA accuracy: 0.5225,  MIA auc: 0.5240,  MIA recall: 0.5036, 
Epoch [74/90],  U_d: -0.0399,  U_a: -0.9948,  test accuracy: 0.4804,  forget accuracy: 0.5146,  retain accuracy: 0.8319,  att accuracy: 0.5025,  MIA accuracy: 0.5198,  MIA auc: 0.5253,  MIA recall: 0.4968, 
Epoch [75/90],  U_d: -0.0252,  U_a: -0.9936,  test accuracy: 0.4826,  forget accuracy: 0.5044,  retain accuracy: 0.8212,  att accuracy: 0.5031,  MIA accuracy: 0.5170,  MIA auc: 0.5236,  MIA recall: 0.5132, 
Epoch [76/90],  U_d: -0.0194,  U_a: -1.0072,  test accuracy: 0.4684,  forget accuracy: 0.4940,  retain accuracy: 0.8001,  att accuracy: 0.4963,  MIA accuracy: 0.5143,  MIA auc: 0.5167,  MIA recall: 0.4992, 
Epoch [77/90],  U_d: -0.0886,  U_a: -1.0040,  test accuracy: 0.4734,  forget accuracy: 0.4936,  retain accuracy: 0.8040,  att accuracy: 0.4979,  MIA accuracy: 0.5165,  MIA auc: 0.5248,  MIA recall: 0.5054, 
