Epoch [1/90],  U_d: -0.0277,  U_a: -1.0035,  test accuracy: 0.6756,  forget accuracy: 0.9950,  retain accuracy: 0.9971,  att accuracy: 0.4982,  MIA accuracy: 0.7054,  MIA auc: 0.7522,  MIA recall: 0.9376, 
Epoch [2/90],  U_d: -0.7318,  U_a: -0.9830,  test accuracy: 0.5976,  forget accuracy: 0.8258,  retain accuracy: 0.8922,  att accuracy: 0.5084,  MIA accuracy: 0.6041,  MIA auc: 0.6456,  MIA recall: 0.7350, 
Epoch [3/90],  U_d: -0.4327,  U_a: -1.0050,  test accuracy: 0.5904,  forget accuracy: 0.7776,  retain accuracy: 0.8928,  att accuracy: 0.4974,  MIA accuracy: 0.5920,  MIA auc: 0.6236,  MIA recall: 0.6796, 
Epoch [4/90],  U_d: -0.2795,  U_a: -0.9910,  test accuracy: 0.5890,  forget accuracy: 0.7918,  retain accuracy: 0.9079,  att accuracy: 0.5044,  MIA accuracy: 0.5788,  MIA auc: 0.6100,  MIA recall: 0.6712, 
Epoch [5/90],  U_d: -0.3030,  U_a: -0.9966,  test accuracy: 0.6130,  forget accuracy: 0.7916,  retain accuracy: 0.9304,  att accuracy: 0.5016,  MIA accuracy: 0.5713,  MIA auc: 0.5996,  MIA recall: 0.6698, 
Epoch [6/90],  U_d: -0.1776,  U_a: -1.0064,  test accuracy: 0.6194,  forget accuracy: 0.8084,  retain accuracy: 0.9476,  att accuracy: 0.4967,  MIA accuracy: 0.5894,  MIA auc: 0.6139,  MIA recall: 0.6950, 
Epoch [7/90],  U_d: -0.0566,  U_a: -1.0072,  test accuracy: 0.6322,  forget accuracy: 0.8218,  retain accuracy: 0.9681,  att accuracy: 0.4963,  MIA accuracy: 0.5807,  MIA auc: 0.6107,  MIA recall: 0.7026, 
Epoch [8/90],  U_d: -0.0571,  U_a: -0.9940,  test accuracy: 0.6284,  forget accuracy: 0.8144,  retain accuracy: 0.9701,  att accuracy: 0.5029,  MIA accuracy: 0.5748,  MIA auc: 0.6033,  MIA recall: 0.6822, 
Epoch [9/90],  U_d: -0.0730,  U_a: -0.9970,  test accuracy: 0.6160,  forget accuracy: 0.7906,  retain accuracy: 0.9502,  att accuracy: 0.5014,  MIA accuracy: 0.5823,  MIA auc: 0.6164,  MIA recall: 0.6866, 
Epoch [10/90],  U_d: -0.2319,  U_a: -1.0192,  test accuracy: 0.6096,  forget accuracy: 0.7688,  retain accuracy: 0.9476,  att accuracy: 0.4903,  MIA accuracy: 0.5651,  MIA auc: 0.5924,  MIA recall: 0.6616, 
Epoch [11/90],  U_d: -0.0146,  U_a: -1.0074,  test accuracy: 0.6084,  forget accuracy: 0.7724,  retain accuracy: 0.9481,  att accuracy: 0.4962,  MIA accuracy: 0.5617,  MIA auc: 0.5899,  MIA recall: 0.6726, 
Epoch [12/90],  U_d: -0.0367,  U_a: -0.9924,  test accuracy: 0.5896,  forget accuracy: 0.7332,  retain accuracy: 0.9200,  att accuracy: 0.5037,  MIA accuracy: 0.5548,  MIA auc: 0.5798,  MIA recall: 0.6378, 
Epoch [13/90],  U_d: -0.0214,  U_a: -1.0080,  test accuracy: 0.5990,  forget accuracy: 0.7460,  retain accuracy: 0.9368,  att accuracy: 0.4959,  MIA accuracy: 0.5586,  MIA auc: 0.5838,  MIA recall: 0.6588, 
Epoch [14/90],  U_d: -0.0863,  U_a: -0.9998,  test accuracy: 0.5998,  forget accuracy: 0.7336,  retain accuracy: 0.9423,  att accuracy: 0.5000,  MIA accuracy: 0.5546,  MIA auc: 0.5793,  MIA recall: 0.6362, 
